Price,Adj Close,Close,High,Low,Open,Volume
Ticker,NQ=F,NQ=F,NQ=F,NQ=F,NQ=F,NQ=F
Datetime,,,,,,
2024-12-20 04:10:00+00:00,20967.5,20967.5,20977.0,20967.5,20977.0,0
2024-12-20 04:15:00+00:00,20958.75,20958.75,20966.25,20958.75,20966.25,7
2024-12-20 04:20:00+00:00,20963.75,20963.75,20963.75,20960.0,20960.0,4
2024-12-20 04:25:00+00:00,20959.0,20959.0,20964.0,20959.0,20964.0,2
2024-12-20 04:30:00+00:00,20959.0,20959.0,20959.0,20959.0,20959.0,4
2024-12-20 04:45:00+00:00,20971.25,20971.25,20971.25,20969.25,20971.0,18
2024-12-20 04:50:00+00:00,20971.5,20971.5,20971.5,20971.5,20971.5,3
2024-12-20 04:55:00+00:00,20978.5,20978.5,20978.5,20975.0,20975.0,51
2024-12-20 05:05:00+00:00,20985.5,20985.5,20986.0,20985.5,20986.0,3
2024-12-20 05:10:00+00:00,20992.0,20992.0,20992.5,20985.0,20986.25,11
2024-12-20 05:15:00+00:00,20983.0,20983.0,20983.0,20974.25,20975.25,7
2024-12-20 05:20:00+00:00,20983.75,20983.75,20983.75,20983.75,20983.75,1
2024-12-20 05:25:00+00:00,20981.0,20981.0,20981.0,20981.0,20981.0,2
2024-12-20 05:30:00+00:00,20975.0,20975.0,20979.0,20975.0,20979.0,8
2024-12-20 05:35:00+00:00,20978.25,20978.25,20980.5,20978.25,20978.25,10
2024-12-20 05:40:00+00:00,20986.75,20986.75,20987.25,20986.75,20987.25,4
2024-12-20 05:45:00+00:00,20984.5,20984.5,20986.25,20984.25,20986.25,10
2024-12-20 05:50:00+00:00,20993.0,20993.0,20994.25,20984.0,20984.5,12
2024-12-20 05:55:00+00:00,20995.75,20995.75,20997.0,20992.5,20992.5,7
2024-12-20 06:00:00+00:00,20984.5,20984.5,20994.5,20984.5,20994.0,19
2024-12-20 06:05:00+00:00,20975.75,20975.75,20993.25,20975.75,20986.0,13
2024-12-20 06:10:00+00:00,20989.0,20989.0,20989.0,20973.0,20973.0,19
2024-12-20 06:15:00+00:00,21004.75,21004.75,21004.75,20993.0,20993.0,10
2024-12-20 06:20:00+00:00,21005.0,21005.0,21006.0,21000.25,21000.25,9
2024-12-20 06:25:00+00:00,21013.5,21013.5,21013.5,21000.0,21000.0,7
2024-12-20 06:30:00+00:00,21007.5,21007.5,21007.5,21007.5,21007.5,2
2024-12-20 06:35:00+00:00,21021.75,21021.75,21021.75,21015.0,21015.0,7
2024-12-20 06:40:00+00:00,21020.0,21020.0,21023.25,21017.75,21023.25,45
